fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
VILJE,15.60,0.00,0.00,0.00,15.60,2.27,0.00,0.00,0.00,2.27,31.12.2021,3392471,16.03.2022
VISUND,41.63,61.54,7.45,0.00,117.33,4.34,28.24,3.45,0.00,39.14,31.12.2021,43745,16.03.2022
VISUND SØR,2.89,5.66,0.79,0.00,10.05,0.27,0.35,0.05,0.00,0.72,31.12.2021,20461008,16.03.2022
VOLUND,12.76,1.58,0.00,0.00,14.34,1.18,0.15,0.00,0.00,1.33,31.12.2021,4380167,16.03.2022
VOLVE,10.17,0.81,0.16,0.09,11.37,0.00,0.00,0.00,0.00,0.00,31.12.2021,3420717,16.03.2022
YME,17.64,0.00,0.00,0.00,17.64,9.70,0.00,0.00,0.00,9.70,31.12.2021,43807,16.03.2022
YTTERGRYTA,0.29,1.81,0.34,0.00,2.75,0.00,0.00,0.00,0.00,0.00,31.12.2021,4973114,16.03.2022
ÆRFUGL NORD,0.23,2.40,0.26,0.00,3.12,0.22,2.28,0.25,0.00,2.98,31.12.2021,38542241,16.03.2022
ØST FRIGG,0.00,9.22,0.00,0.07,9.29,0.00,0.00,0.00,0.00,0.00,31.12.2021,43576,16.03.2022
ÅSGARD,108.33,234.31,43.71,17.11,442.80,6.24,30.28,5.48,0.00,46.93,31.12.2021,43765,16.03.2022
AASTA HANSTEEN,0.00,57.99,0.00,0.63,58.62,0.00,33.61,0.00,0.29,33.90,31.12.2021,23395946,16.03.2022

